ID,DATASET,curated_smiles,tSNE1,tSNE2
DiaNatDB-17,DiaNat-DB,C=C[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCC[C@H]21,14.238154,-23.037725
DiaNatDB-170,DiaNat-DB,COc1cc(O)c2c(=O)c3c(O)c(OC)ccc3oc2c1,57.808193,37.14823
DiaNatDB-171,DiaNat-DB,NC(Cn1ccc(=O)c(O)c1)C(=O)O,6.7726808,-31.478014
DiaNatDB-172,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,-78.632744,1.1372039
DiaNatDB-173,DiaNat-DB,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,60.96957,5.613795
DiaNatDB-174,DiaNat-DB,Cc1c(O)c2c(c(C)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O[C@H](c1cc(O)ccc1O)CC2=O,55.87601,59.51154
DiaNatDB-175,DiaNat-DB,COc1ccc(O)c([C@@H]2CC(=O)c3c(O)c(C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(C)c3O2)c1,55.869633,59.51213
DiaNatDB-176,DiaNat-DB,CC(=O)c1c(O)cc(O)cc1O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O,41.19999,3.1370618
DiaNatDB-177,DiaNat-DB,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,66.1318,28.411922
DiaNatDB-178,DiaNat-DB,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,68.41958,20.315678
DiaNatDB-179,DiaNat-DB,C=CCc1cc(OC)c2c(c1)OCO2,44.578346,-26.553257
DiaNatDB-18,DiaNat-DB,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,52.48257,33.847095
DiaNatDB-180,DiaNat-DB,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,52.713924,8.246614
DiaNatDB-181,DiaNat-DB,COc1cc([C@H]2c3cc(O)c(O)cc3-c3oc4cc(O)cc(O)c4c(=O)c3[C@H]2CO)ccc1O,63.72991,28.126707
DiaNatDB-182,DiaNat-DB,COc1cc2c3c(c1OC)-c1ccccc1C[C@H]3N(C)CC2,-11.100852,63.00191
DiaNatDB-183,DiaNat-DB,CCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-52.431664,-42.219654
DiaNatDB-184,DiaNat-DB,COC1CC(O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)[C@@H](OC(C)=O)C[C@]43O)C2)OC(C)C1O,-50.85674,-1.5841057
DiaNatDB-185,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,-76.811844,2.6531315
DiaNatDB-186,DiaNat-DB,C[C@]12C[C@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,23.447763,-0.70967406
DiaNatDB-187,DiaNat-DB,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,24.862644,-19.278263
DiaNatDB-188,DiaNat-DB,O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-21.733566,-16.08826
DiaNatDB-189,DiaNat-DB,O=C1OC[C@H]2OC(O)[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@H]3[C@@H]2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,8.189345,81.38563
DiaNatDB-19,DiaNat-DB,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@]21O,13.862949,-24.308317
DiaNatDB-190,DiaNat-DB,CC(C)=C[C@H]1C[C@](O)([C@H]2CC[C@]3(C)[C@H]2CCC2[C@@]4(C)CC[C@H](O[C@@H]5OC[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5O[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)C(C)(C)C4CC[C@]23C)[C@H](O)O1,-32.92041,-29.44415
DiaNatDB-191,DiaNat-DB,COC[C@@H](Cc1ccc(OC)c(OC)c1)[C@@H](COC)Cc1ccc(OC)c(OC)c1,38.01177,-29.062052
DiaNatDB-192,DiaNat-DB,COc1c(O)cc(C2Oc3c(c(O)cc(O)c3[C@H]3c4c(O)cc(O)cc4O[C@H](c4ccc(O)cc4)[C@@H]3O)C[C@H]2O)cc1O,34.177574,68.51494
DiaNatDB-193,DiaNat-DB,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,59.352303,-35.658436
DiaNatDB-194,DiaNat-DB,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@@H]1O,67.8507,19.872179
DiaNatDB-195,DiaNat-DB,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,67.888916,19.9689
DiaNatDB-196,DiaNat-DB,Cc1c(O)c(O)cc2c1CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@H](C)C(=O)[C@@H](O)[C@]3(C)CC[C@]12C,-18.086296,-27.679323
DiaNatDB-197,DiaNat-DB,CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-20.548796,-37.54294
DiaNatDB-198,DiaNat-DB,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,41.202625,-13.871761
