ID,DATASET,curated_smiles,component1,component2
UNPD_subset_A_9786,UNPD-A,O[C@H]1[C@H](O)[C@@H](O[C@@]2(COC(c3ccccc3)(c3ccccc3)c3ccccc3)O[C@H](COC(c3ccccc3)(c3ccccc3)c3ccccc3)[C@@H](O)[C@@H]2O)O[C@@H](COC(c2ccccc2)(c2ccccc2)c2ccccc2)[C@@H]1O,5.793243408203125,17.156578063964844
UNPD_subset_A_9771,UNPD-A,O[C@H]1CCN2Cc3ccccc3N[C@@]12O,-1.3112332820892334,-11.56027603149414
UNPD_subset_A_9773,UNPD-A,OC[C@@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](O)[C@H](O)[C@@H](O)[C@H]3O)O[C@@H]2CO)[C@H](O)[C@H]1O,30.981203079223633,42.49844741821289
UNPD_subset_A_9774,UNPD-A,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)CC2,31.28681182861328,-59.53787612915039
UNPD_subset_A_9775,UNPD-A,OC[C@@H](O)[C@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@@H](O)CO,20.27910614013672,36.06111526489258
UNPD_subset_A_9776,UNPD-A,OC[C@H]1O[C@@H](O[C@@H]2C=C[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,26.680721282958984,35.57456970214844
UNPD_subset_A_9777,UNPD-A,OCC1=C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,12.337003707885742,9.775465965270996
UNPD_subset_A_9778,UNPD-A,N[C@H]1[C@H](O)[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H](CO)[C@@H]1O,-18.745803833007812,24.774311065673828
UNPD_subset_A_9779,UNPD-A,OC[C@H]1O[C@H](O[C@@H]2OC=C[C@H]3C[C@@H]4O[C@]4(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O,33.48127746582031,34.6192741394043
UNPD_subset_A_9780,UNPD-A,OC[C@H]1O[C@@H](Oc2ccc3c(c2)O[C@H](c2ccc4c(c2)OCO4)CC3)[C@H](O)[C@@H](O)[C@@H]1O,29.073904037475586,-56.80862045288086
UNPD_subset_A_9781,UNPD-A,OCc1cc(O)c2c(O)c3c(O)ccc(O)c3c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2c1,41.05692672729492,-8.683599472045898
UNPD_subset_A_9782,UNPD-A,OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3C=C[C@](O)(CO)[C@H]32)[C@H](O)[C@@H](O)[C@@H]1O,33.912452697753906,34.43334197998047
UNPD_subset_A_9783,UNPD-A,OC[C@H]1O[C@@H](Oc2ccc3cc2Oc2ccc(cc2)CC[C@@H](O)CCCC3)[C@H](O)[C@@H](O)[C@@H]1O,-45.18264389038086,-61.73986053466797
UNPD_subset_A_9784,UNPD-A,OC[C@H]1CC[C@@]2(CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O[C@@]12CO,18.195159912109375,40.11002731323242
